1,#ff9955
2,#2fac93
3,#5f8dd3
4,#5f8dd3
5,#2fac93
6,#5f8dd3
7,#e580ff
8,#ff2a2a
9,#5f8dd3
10,#5f8dd3
11,#ff9955
12,#ff2a2a
13,#2fac93
14,#2fac93
15,#ff9955
16,#ff2a2a
-1,#808080
